Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuite2,Chrome 87.0.4280.141,,,2021-01-21 14:59:22,2021-01-21 14:59:42,20.056s,PASSED
,,,,,,,
Test Cases/Test3,Chrome 87.0.4280.141,,,2021-01-21 14:59:24,2021-01-21 14:59:42,18.656s,PASSED
"openBrowser(""http://cms.demo.katalon.com/"")",Chrome 87.0.4280.141,,,2021-01-21 14:59:24,2021-01-21 14:59:33,8.375s,PASSED
"click(findTestObject(""Object Repository/Items on FrontPage/a_My account""))",Chrome 87.0.4280.141,,,2021-01-21 14:59:33,2021-01-21 14:59:35,2.028s,PASSED
"sendKeys(findTestObject(""Object Repository/Try to Login/input__username""), ""peterabah@test.com"")",Chrome 87.0.4280.141,,,2021-01-21 14:59:35,2021-01-21 14:59:35,0.414s,PASSED
"sendKeys(findTestObject(""Object Repository/Try to Login/input__password""), ""petertest123"")",Chrome 87.0.4280.141,,,2021-01-21 14:59:35,2021-01-21 14:59:35,0.383s,PASSED
"click(findTestObject(""Object Repository/Try to Login/input__rememberme""))",Chrome 87.0.4280.141,,,2021-01-21 14:59:35,2021-01-21 14:59:36,0.538s,PASSED
"click(findTestObject(""Object Repository/Try to Login/button_Log in""))",Chrome 87.0.4280.141,,,2021-01-21 14:59:36,2021-01-21 14:59:37,1.266s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Try to Login/li_ERROR Invalid username. Lost your password""), 2)",Chrome 87.0.4280.141,,,2021-01-21 14:59:37,2021-01-21 14:59:38,0.413s,PASSED
"click(findTestObject(""Object Repository/Try to Login/a_Lost your password""))",Chrome 87.0.4280.141,,,2021-01-21 14:59:38,2021-01-21 14:59:39,1.609s,PASSED
"sendKeys(findTestObject(""Object Repository/Try to Login/input_Username or email_user_login""), ""peterabah@test.com"")",Chrome 87.0.4280.141,,,2021-01-21 14:59:39,2021-01-21 14:59:40,0.574s,PASSED
"click(findTestObject(""Object Repository/Try to Login/button_Reset password""))",Chrome 87.0.4280.141,,,2021-01-21 14:59:40,2021-01-21 14:59:41,1.365s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Try to Login/li_ERROR Invalid username. Lost your password""), 2)",Chrome 87.0.4280.141,,,2021-01-21 14:59:41,2021-01-21 14:59:42,0.500s,PASSED
closeBrowser(),Chrome 87.0.4280.141,,,2021-01-21 14:59:42,2021-01-21 14:59:42,0.675s,PASSED
